GEOID,mean_price,median_price,max_price,min_price,mean_value,median_value,max_value,min_value
390351112021,293105.9,150000,1293559,19000,12810,12250,20600,8700
390351014001,613622.5,269380,2627000,40000,53510,53800,63700,42000
390351087011,192160,150000,950000,20000,33970,32600,46600,30600
391130702011,38370.6,38200,81000,2000,16970,15965,26840,14140
391130009001,37370,41000,66000,8000,12755,13855,15830,6710
391130034022,204200,125000,419900,40000,44126,21990,234990,15620
391130706001,68280,69000,107000,22900,29032,28370,34330,22310
391130023001,27100,22500,67500,4500,8038,8345,10520,4920
391130026001,55594.6,74423,77000,6000,21100,20970,28080,14110
391130034021,54070,46250,126000,1000,15089,16845,30810,3630
391130042001,3339.2,1946,12500,1000,6423,6345,11180,2620
391131003021,87190,85700,135000,33500,36997,37435,45850,26770
391131004002,142440,188750,246500,29900,69796,67725,81250,63410
390351029002,43609.1,43000,72000,13334,43270,42600,57200,33500
391034170006,93450,88250,151000,28000,35865,32070,50180,25300
391034082023,153936.6,220200,240900,40000,78416,78960,90750,66470
391499719004,258142.5,282087.5,400000,41900,100080,99895,112530,87460
391499718003,48973.4,47167,80000,24900,23778,23395,40900,13690
391499719003,138990,126000,275000,90900,35848,37365,42300,26230
391499720002,57390,72250,85000,15600,24506,20380,45110,10670
391499715002,152422.8,123500,266500,60000,71747,78945,108280,22150
391499722005,74194.2,66533.5,138000,29900,37404,38230,43690,26980
391439617003,159625.7,210875,295000,26227,92587,89255,116340,66960
391439613003,52588.5,51380,85000,30000,26109,23650,50300,13970
391535203013,106129.5,102900,127500,87500,37203,35050,44910,32390
391439615005,57510,59850,89500,24500,22104,22265,29720,16110
390870503001,84900,39950,265000,10000,65999,44300,175010,24040
391279660003,58017.7,32000,125000,17777,30374,22900,76510,7260
391279662004,35170.4,33335,65000,2000,13992,15655,18860,5180
391199111004,67830,77500,87400,10000,25648,26232.5,36365,20650
390450306001,212800,209400,331100,120000,74041,64245,110530,52450
390070013011,26700,19900,49000,15000,29719,28700,70950,9670
391390028001,138090,80000,511000,18000,23169,24775,31190,11740
391390030014,88380,84000,162900,10000,63646,57645,122060,36140
391390015003,25199.6,21479,48000,7000,15849,16060,26340,4940
390351275012,15497.7,10300,40900,1900,18100,17900,30300,10300
391390018001,81352.5,78000,187000,6525,22440,24630,32330,6620
391390007001,9849.6,4500,26000,1500,9769,8755,14690,7040
391390011002,116125,125450,189950,62000,34587,35050,44560,26260
391390021021,95847,94750,165000,44000,53135,47455,89340,34220
391390019002,135330,103000,450000,35000,54823,41615,145560,33510
391390025004,54737.1,57500,110000,1000,28194,29815,38890,5580
391390026003,42023.5,40250,77000,16900,21170,19255,35350,10310
391390022001,87840,82500,142000,70000,31217,30410,38870,25540
390070011022,140605,138025,310000,6000,41386,44210,60870,13760
390450306003,111640,111800,156500,67500,44973,43100,54720,38170
390351776062,125860,123000,175000,62600,113950,112600,131300,108000
391479638004,105242,67700,350000,13000,40573.5,35901.5,100465,25459
391479629001,44256.7,38583.5,110000,12000,24822.1,22246,43302,14445
391479629002,55694.1,44167,165000,6000,24184.7,22908.5,38497,16241
391479629003,41210,27500,130000,4100,23663.7,17362,50110,2482
391479627003,230500,210550,510000,84000,53206.5,56399.5,78246,30370
391479633004,105150,77000,425000,22500,22414.7,23086.5,28567,15722
391479635005,53150,54000,94500,6000,22000.3,22342.5,33797,3046
391479638001,38235.9,34000,67000,16900,24425.4,23557,33523,17371
391199115001,125446.6,137750,229333,20000,69517,70280,105105,45255
391199111005,78686.2,79250,140000,40000,27912.5,27090,38115,11340
391093901002,162300,142800,483000,16500,64912,61985,104750,34110
391199121001,36053.3,12500,119000,6000,10237.5,9432.5,21140,6160
391199121002,22914.4,18486,75800,5000,15704.5,10920,37135,7420
391199114004,16740,11500,50000,4000,7213.5,6860,22330,1050
391199117003,92373.3,84000,129333,69900,39368,35402.5,80955,26145
391199121004,33420,35500,58000,13000,17801,17535,25970,12355
391439618002,37628,31000,66000,19000,18768,18360,26880,15860
391439609002,270350,103000,1767000,4500,52789,49920,91180,38400
391439612002,76502.5,91500,170000,8250,42155,40450,77990,23170
